rental_id,car_id,checkin_type,state,delay_at_checkout_in_minutes,previous_ended_rental_id,time_delta_with_previous_rental_in_minutes,time_delta_with_next_rental_in_minutes
573034,227100,mobile,ended,4.0,569554.0,120.0,
573315,398586,connect,ended,26.0,,,
573680,300345,mobile,ended,-25.0,,,
574171,381499,connect,ended,-174.0,,,
574568,301512,mobile,ended,110.0,572909.0,0.0,
574868,371387,mobile,ended,-129.0,571864.0,720.0,
505377,290726,connect,ended,62.0,,,
505576,300601,mobile,ended,-2.0,,,
505628,194343,connect,ended,-60.0,,,90.0
506069,192409,mobile,ended,159.0,,,270.0
506728,382700,mobile,ended,-67.0,,,0.0
507918,366079,mobile,ended,98.0,,,
509168,299180,mobile,ended,-51.0,,,
509315,190163,mobile,ended,-105.0,,,
509587,345738,mobile,ended,-58.0,,,
510797,399549,mobile,ended,-14.0,,,
512503,390347,mobile,ended,-98.0,,,
513317,358772,connect,ended,-8.0,,,
514494,348178,mobile,ended,-234.0,,,
514502,370437,mobile,ended,379.0,,,
515229,304392,connect,ended,-24.0,,,
515357,376237,mobile,ended,69.0,,,
516962,398697,mobile,ended,-17.0,,,
518261,391287,mobile,ended,-7.0,,,
505546,261879,mobile,ended,610.0,,,
506242,388411,mobile,ended,3.0,,,
508535,351024,mobile,ended,102.0,,,90.0
508850,188941,mobile,ended,-179.0,,,
510674,173341,mobile,ended,28.0,,,
514474,376574,mobile,ended,81.0,,,0.0
514557,364038,mobile,ended,-1.0,,,30.0
514571,330176,mobile,ended,3.0,,,
515099,391223,mobile,ended,747.0,,,
515156,339993,mobile,ended,8.0,,,
515431,334199,mobile,ended,614.0,,,
515663,366631,mobile,ended,4.0,,,
517677,392485,mobile,ended,28.0,,,
517979,394561,mobile,ended,5.0,,,
519135,383344,connect,ended,69.0,,,90.0
519321,353459,connect,ended,3.0,,,
519682,296967,connect,ended,-223.0,,,720.0
519728,310636,connect,ended,-87.0,,,
519967,198687,mobile,ended,870.0,,,
520613,346755,connect,ended,-120.0,,,
521865,401475,connect,ended,113.0,514932.0,540.0,
522544,384479,mobile,ended,47.0,,,
523140,390056,mobile,ended,78.0,,,
524013,167023,mobile,ended,-10.0,,,
524084,335239,mobile,ended,147.0,,,
524088,351787,mobile,ended,458.0,,,
524306,403410,mobile,ended,166.0,,,
526080,241935,mobile,ended,160.0,,,
526102,346840,mobile,ended,-2791.0,,,
527653,343652,mobile,ended,20.0,,,
